INFO:root:starting to log...
INFO:root:getting all macro associations...
INFO:root:extracting macro from program number=100
INFO:root:extracting macro from program number=200
INFO:root:extracting macro from program number=300
INFO:root:extracting macro from program number=400
INFO:root:extracting macro from program number=500
INFO:root:extracting macro from program number=600
INFO:root:extracting macro from program number=700
INFO:root:extracting macro from program number=800
INFO:root:extracting macro from program number=900
INFO:root:extracting macro from program number=1000
INFO:root:extracting macro from program number=1100
INFO:root:extracting macro from program number=1200
INFO:root:extracting macro from program number=1300
INFO:root:extracting macro from program number=1400
INFO:root:extracting macro from program number=1500
INFO:root:extracting macro from program number=1600
INFO:root:extracting macro from program number=1700
INFO:root:extracting macro from program number=1800
INFO:root:extracting macro from program number=1900
INFO:root:extracting macro from program number=2000
INFO:root:extracting macro from program number=2100
INFO:root:extracting macro from program number=2200
INFO:root:extracting macro from program number=2300
INFO:root:extracting macro from program number=2400
INFO:root:extracting macro from program number=2500
INFO:root:extracting macro from program number=2600
INFO:root:extracting macro from program number=2700
INFO:root:extracting macro from program number=2800
INFO:root:extracting macro from program number=2900
INFO:root:extracting macro from program number=3000
INFO:root:extracting macro from program number=3100
INFO:root:extracting macro from program number=3200
INFO:root:extracting macro from program number=3300
INFO:root:extracting macro from program number=3400
INFO:root:extracting macro from program number=3500
INFO:root:extracting macro from program number=3600
INFO:root:extracting macro from program number=3700
INFO:root:extracting macro from program number=3800
INFO:root:extracting macro from program number=3900
INFO:root:extracting macro from program number=4000
INFO:root:extracting macro from program number=4100
INFO:root:extracting macro from program number=4200
INFO:root:extracting macro from program number=4300
INFO:root:extracting macro from program number=4400
INFO:root:extracting macro from program number=4500
INFO:root:extracting macro from program number=4600
INFO:root:extracting macro from program number=4700
INFO:root:extracting macro from program number=4800
INFO:root:extracting macro from program number=4900
INFO:root:extracting macro from program number=5000
INFO:root:extracting macro from program number=5100
INFO:root:extracting macro from program number=5200
INFO:root:extracting macro from program number=5300
INFO:root:extracting macro from program number=5400
INFO:root:extracting macro from program number=5500
INFO:root:extracting macro from program number=5600
INFO:root:extracting macro from program number=5700
INFO:root:extracting macro from program number=5800
INFO:root:extracting macro from program number=5900
INFO:root:extracting macro from program number=6000
INFO:root:extracting macro from program number=6100
INFO:root:extracting macro from program number=6200
INFO:root:extracting macro from program number=6300
INFO:root:extracting macro from program number=6400
INFO:root:extracting macro from program number=6500
INFO:root:extracting macro from program number=6600
INFO:root:extracting macro from program number=6700
INFO:root:extracting macro from program number=6800
INFO:root:extracting macro from program number=6900
INFO:root:extracting macro from program number=7000
INFO:root:extracting macro from program number=7100
INFO:root:extracting macro from program number=7200
INFO:root:extracting macro from program number=7300
INFO:root:extracting macro from program number=7400
INFO:root:extracting macro from program number=7500
INFO:root:extracting macro from program number=7600
INFO:root:extracting macro from program number=7700
INFO:root:extracting macro from program number=7800
